0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-56.00000000000001,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.56815459439175,-57.14757473917819,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-52.43184677497298,-52.395308660282716,-51.393334202797305,-49.232126869690696,-39.0,-39.0,-39.0,-39.0,-38.431847703795036,-38.395310235785324,-38.369201712663305,-38.349111746165896,-37.77332476091241,-36.523680140960415,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.5681546988398,1.0
-56.00000000000001,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.568154262156774,-56.60469173903265,-57.18142901831378,-53.0,-53.0,-53.0,-53.0,-53.0,-52.43184710754323,-52.39530922440142,-51.81860584570237,-50.90311270780847,-49.41786322228504,-39.0,-39.0,-39.0,-38.43184803689985,-38.39531080080881,-38.36920245519213,-38.34911263147651,-38.33292550285044,-37.75701740114808,-36.50198920604901,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.56815436666486,-34.60469191630583,1.0
-56.00000000000001,-56.0,-56.0,-56.0,-56.0,-56.0,-56.56815392973079,-56.60469117515127,-56.63080014967393,-56.650890478599784,-53.0,-53.0,-53.0,-53.0,-52.43184744030483,-52.39530978884397,-52.3692011253122,-51.79328410200417,-50.875318777479656,-49.38394704685198,-39.0,-39.0,-38.43184837019651,-38.395311366156996,-38.369203198146906,-38.34911351729414,-38.3329265072883,-38.31946376931914,-37.7433392303927,-36.483561134288095,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.56815403429896,-34.60469135252615,-34.630800382772925,1.0
-56.00000000000001,-56.0,-56.0,-56.0,-56.0,-56.56815359711361,-56.604690610946264,-56.63079940821876,-56.65088959456724,-57.22670979936658,-53.0,-53.0,-53.0,-52.43184777325794,-52.395310353610675,-52.369201867504216,-52.349111930781426,-51.77332502603593,-50.852843184287174,-49.3559151291088,-39.0,-38.38161536516935,-38.358134605728964,-38.33964703368613,-38.32451740618043,-38.311791464244834,-38.30086472562095,-38.291330945510424,-37.250334920575646,-35.82242127092573,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.568153701741934,-34.60469078842296,-34.63079964145131,-34.650889872648925,1.0
-56.00000000000001,-56.0,-56.0,-56.0,-56.568153264305046,-56.60469004641732,-56.630798666338684,-56.65088871002889,-56.667076020956486,-57.692035663929666,-53.0,-53.0,-52.431848106402754,-52.395310918701846,-52.369202610121846,-52.34911281619774,-52.33292571230786,-51.757017689083646,-50.8341546933034,-49.33223508817589,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-37.431846723266865,-36.852459868107296,-37.59845837037984,-34.0,-34.0,-34.0,-34.0,-34.0,-34.56815336899358,-34.60469022399594,-34.63079889970491,-34.650888988269706,-35.22670892879436,1.0
-56.00000000000001,-56.0,-56.0,-56.5681529313049,-56.604689481564144,-56.63079792403327,-56.65088782498425,-56.66707501739384,-57.24301570520793,-57.820739013515016,-53.0,-52.43150593418442,-52.39507191560383,-52.36901802552871,-52.34896141875513,-52.332796411318945,-52.319349207016415,-51.74321586945021,-50.81812175218427,-49.31164078933264,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-37.431847055807374,-37.39530913664507,-37.564032326157346,-38.55499403020143,-34.0,-34.0,-34.0,-34.0,-34.568153036053715,-34.60468965924476,-34.630798157533306,-34.65088810338434,-34.66707533307492,-35.243016139109365,1.0
-56.00000000000001,-56.0,-56.56815259811302,-56.604688916386415,-56.63079718130212,-56.65088693943282,-56.667074013257405,-56.68053680521071,-57.2566937048354,-57.83404805698846,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-51.43184643896421,-50.439423499369546,-49.05013684790917,-38.0,-38.0,-38.0,-38.0,-38.0,-37.43184738853919,-37.395309701037235,-37.56403200109559,-38.14264389989949,-38.727194022035036,-34.0,-34.0,-34.0,-34.56815270292215,-34.604689094169146,-34.6307974149361,-34.650887217992356,-34.667074329118996,-34.68053715274253,-35.256694167770384,1.0
-56.00000000000001,-56.578075961298815,-56.61170878786232,-56.636252762184014,-56.65537640949911,-56.67091463273854,-56.68391596632879,-56.69503466049933,-57.27168171506745,-57.84899087035727,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-51.43184677134121,-50.85245997813392,-50.26734517840579,-49.407552146731135,-38.0,-38.0,-38.0,-38.0,-37.4318477214625,-37.3953102657535,-37.564031675847104,-37.600990142951915,-38.17672883132044,-38.75724946099983,-34.0,-34.0,-34.568152369598714,-34.604688528768754,-34.630796671912876,-34.65088633209325,-34.667073324588905,-34.68053604749233,-34.691996892532,-35.268399651968224,1.0
-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.56815454984657,-58.147574637250415,-52.0,-52.0,-52.0,-52.0,-52.0,-51.43184710390939,-51.39530921823755,-50.818605835059344,-50.237398030583456,-49.65255677662282,-38.0,-38.0,-38.0,-37.431848054577486,-37.395310830794195,-37.56403135041171,-37.600989598857375,-37.62717843950482,-38.20209045204049,-38.78056275338073,-34.0,-34.66462915022566,-34.679401408278686,-34.691882029059556,-34.70263480775662,-34.712042282040734,-34.72037540518035,-34.72783275395396,-34.73456396070597,-35.313115497687576,1.0
-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.568154217586,-57.60469166342892,-58.18142888779358,-52.0,-52.0,-52.0,-52.0,-51.43184743666888,-51.39530978267656,-51.369201117207254,-50.79328408956345,-50.76644655170489,-50.179813328979066,-38.0,-38.0,-37.43184838788434,-37.39531139615962,-37.56403102478922,-37.60098905445077,-37.62717772791401,-37.647229518231285,-38.222013459532,-38.246042751062696,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.568154704132645,1.0
