rssi1,rssi2,rssi3,rssi4,location
-41.98330741017532,-45.35137910178538,-22.236657178571022,-53.17258973583046,1
-42.645501289086205,-45.37368285841806,-21.983837270038645,-53.96792006034111,1
-42.67362493303489,-46.5515538493886,-21.772852524329707,-54.04284367135311,1
-42.69787054223416,-46.6004709695791,-21.59326802765589,-54.90676334726707,1
-42.71937848300769,-48.25060329067953,-21.4379832849516,-55.002611494832976,1
-42.74433516117022,-50.02737310468279,-21.301958848079913,-55.068419459663076,1
-42.72765968924225,-50.433217349108745,-20.019816470618494,-55.11815125384215,1
-42.587853256117704,-52.14309814732791,-19.780276677610697,-55.15786686747199,1
-42.2715792478083,-52.405521636587245,-19.657061753482285,-55.19074938759357,1
-42.254921084610864,-53.83442719449675,-19.547589301677927,-55.21867967751416,1
-42.23904331929631,-54.123464254042815,-19.449838825698418,-55.24286221746778,1
-42.250933892353885,-54.261051685780565,-19.362114392058974,-56.03326775041871,1
-42.59495767679273,-54.54498716572801,-19.282919920978873,-56.09857984896719,1
-42.63036791994374,-54.659121153801195,-19.211001672761896,-56.107816493957515,1
-43.621199074027516,-54.73501960738435,-19.145325038203946,-56.12616445811444,1
-44.81392248954373,-54.77762476736431,-19.085037958893516,-55.771399062034014,1
-44.914923966218545,-54.626385107424454,-18.00914315038935,-55.763714046992696,1
-46.45155532222146,-54.6431638266074,-17.90392631152084,-55.0733214313023,1
-46.79470344262441,-53.79266642276176,-16.9028327910715,-55.02273964073132,1
-48.70641353822588,-53.759876751071076,-16.781730734362352,-54.161980727339234,1
-49.1775111927986,-52.83900806941712,-16.695612287464417,-54.0586895174972,1
-50.99488117625523,-51.84663805388833,-16.61768390119729,-53.98592714337153,1
-52.70813458654536,-50.774665429111124,-16.54708382894049,-53.930144642249644,1
-54.27440208145169,-50.60420993468533,-16.48283761714148,-53.91857176980671,1
-54.56140422651081,-49.617040671639174,-16.42406690935864,-53.89990802581221,1
-54.83845922276366,-49.47780850605698,-16.37002602357202,-53.88582437029628,1
-54.97170761951513,-48.545225833131795,-16.320092983478734,-53.875018276525644,1
-55.074701730872896,-47.57365762368253,-16.273750427100104,-53.86657368726859,1
-35.0,-51.0,-27.0,-46.0,2
-35.0,-51.0,-27.606680036683834,-46.0,2
-35.0,-51.0,-27.626347636632634,-46.58200230724267,2
-35.0,-51.0,-28.211583946938934,-46.59898754334853,2
-36.14330712855383,-51.0,-28.227739965541716,-46.61288469331187,2
-36.195679240381146,-51.0,-28.834065021605355,-46.44308407567139,2
-37.789943178766414,-50.42180055988884,-29.759929834702238,-46.42051071024885,2
-37.848131128521175,-50.40246819842446,-29.790621215260423,-46.55279333153607,2
-39.24371222101313,-50.387204098620536,-30.904387850558074,-46.57615286192386,2
-39.28891260595864,-49.3246079263026,-32.33141055368611,-46.593964609076785,2
-39.314785597862624,-48.419528593412096,-33.73037133844265,-46.60844287589632,2
-39.34009715236928,-47.458583107885836,-33.933371717083816,-47.243687413076096,2
-39.36453380764557,-47.33935500677306,-35.22222960661449,-47.26535036679303,2
-39.85933300297562,-47.2577672710298,-35.4343582487595,-47.28321167964292,2
-39.858955315393935,-47.195040827830596,-36.6692879080736,-47.29847491338205,2
-40.07916054452635,-47.13674534004826,-36.930045332623486,-47.3118322434009,2
-41.25849051073714,-47.1124831958579,-37.04974498359881,-47.32372378602907,2
-41.373246450256524,-47.314726963893754,-37.14924444032691,-47.33444903737082,2
-42.488278003433194,-47.30353048607373,-37.23302954917858,-47.344222085533055,2
-42.60875847225162,-47.90212883692844,-37.30470394766823,-47.35320181119365,2
-42.70548784599017,-47.92634306688916,-37.67693137489302,-47.361509662790674,2
-42.785906435727334,-47.948155942488036,-37.74326977458748,-47.24548235660442,2
